Host ^nn++++=HOST-PARASITE
possible ^jj+atrb+++=possible
cospeciation ^nn+nom+++=cospeciation
events ^nns++++=events,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
necessarily ^rb++++=necessarily
mutually ^rb++++=mutually
compatible ^jj++++=compatible
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
historical ^jj+atrb+++=historical
reconstruction ^nn+nom+++=reconstruction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
suggested ^vpsv++by+xvbnx+=suggested
by ^in++++=by
comparison ^nn++++=comparison
of ^in++++=of
tree ^nn++++=tree
topologies ^nns+++??+=topologies
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vertical ^nn++++=vertical
dashed ^vwbn+++xvbn+=dashed
line ^nn++++=line
indicates ^nns+nom+++=indicates
the ^ati++++=the
time ^nn++++=time
depth ^nn++++=depth
of ^in++++=of
the ^ati++++=the
parasite ^nn++++=parasite
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Note ^vb++++=Note
that ^tht+vcmp+obj++=that
nodes ^nns++++=nodes
in ^in++++=in
both ^abx++++=both
trees ^nns++++=trees
were ^vbd+bed+aux++=were
rotated ^vpsv++agls+xvbnx+=rotated
to ^to++++=to
maximize ^vbi++++=maximize
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
congruence ^nn+nom+++=congruence
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
trees ^nns++++=trees."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(reproduced
reproduced ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
entirety ^nn++++=entirety
from ^in++++=from
Sorenson ^np+++??+=Sorenson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004:147))
2004:147 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Figure ^nn++++=FIGURE
3 ^zz++++=3:
: ^zz++++=EXTRAWORD
Partial ^jj+atrb+++=PARTIAL
Phylogeny ^np+++??+=PHYLOGENY
Of ^in++++=OF
Both ^abx++++=BOTH
Of ^in++++=OF
Viduidae ^np+++??+=VIDUIDAE
And ^cc++++=AND
Estrildidae ^np+++??+=ESTRILDIDAE
Figure ^nn++++=FIGURE
3 ^zz++++=3:
: ^zz++++=EXTRAWORD
" ^zz++++="mtDNA
mtdna ^nn+++??+=EXTRAWORD
phylogeny ^nn+++??+=phylogeny
of ^in++++=of
brood ^nn++++=brood
parasitic ^jj+atrb+++=parasitic
finches ^nns+++??+=finches
and ^cc++++=and
their ^pp$+pp3+++=their
estrildid ^nn+++??+=estrildid
finch ^np++++=finch
host ^nn++++=host
species ^nn++++=species.
. ^zz++++=EXTRAWORD
( ^zz++++=(The
the ^ati++++=EXTRAWORD
cuckoo ^nn++++=cuckoo
finch ^np++++=finch
is ^vbz+bez+vrb++=is
a ^at++++=a
parasite ^nn++++=parasite
of ^in++++=of
several ^ap++++=several
more ^rbr++++=more
distantly ^rb++++=distantly
related ^jj+atrb++xvbn+=related
warblers ^nns+nom+++=warblers.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Indigobirds ^np+++??+=Indigobirds
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
blue ^jj++++=blue
[ ^zz++++=[gray];
gray ^np++++=EXTRAWORD
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
firefinches ^nns+++??+=firefinches
and ^cc++++=and
other ^ap++++=other
indigobird ^nn+++??+=indigobird
hosts ^nns++++=hosts
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
red ^jj++++=red
[ ^zz++++=[gray].
gray ^np++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
estrildids ^vbz+++??+=estrildids
shown ^vbd+vprv++xvbn+=shown
are ^vb+ber+vrb++=are
hosts ^nns++++=hosts
of ^in++++=of
the ^ati++++=the
various ^jj+atrb+++=various
whydahs ^nns+++??+=whydahs.
. ^zz++++=EXTRAWORD
Dotted ^jj+atrb++xvbn+=Dotted
lines ^nns++++=lines
indicate ^nn+nom+++=indicate
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
mtdna ^nn+++??+=mtDNA
ancestor ^nn++++=ancestor
for ^in++++=for
indigobirds ^nns+++??+=indigobirds
and ^cc++++=and
firefinches ^nns+++??+=firefinches,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Absolute ^jj+atrb+++=Absolute
values ^nns++++=values
of ^in++++=of
divergence ^nn+nom+++=divergence
times ^nns++++=times
should ^md+nec+++=should
be ^vb+be+aux++=be
viewed ^vpsv++agls+xvbnx+=viewed
as ^ql++++=as
rough ^np++++=rough
approximations ^nns+nom+++=approximations
at ^rb++++=at
best ^rb"++++=best,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
relative ^jj+atrb+++=relative
times ^nns++++=times
are ^vb+ber+vrb++=are
directly ^rb++++=directly
comparable ^jj+pred+++=comparable
between ^in++++=between
host ^nn++++=host
and ^cc++++=and
parasitic ^jj+atrb+++=parasitic
lineages ^nns+nom+++=lineages."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(reproduced
reproduced ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
entirety ^nn++++=entirety
from ^in++++=from
sorenson ^np++++=Sorenson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2003:929))
2003:929 ^cd++++=EXTRAWORD
)) ^nn++++=EXTRAWORD
