Host ^nn++++=HOST-PARASITE
determining ^xvbg+++xvbg+=determining
which ^whp+who+++=which
mouths ^nns++++=mouths
belong ^vb++++=belong
to ^in++++=to
their ^pp$+pp3+++=their
own ^ap++++=own
species ^nn++++=species.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2001)
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
this ^dt+dem+++=this
mechanism ^nn+nom+++=mechanism
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
very ^ql+amp+++=very
efficient ^jj++++=efficient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
depends ^vbz++++=depends
on ^in++++=on
many ^ap++++=many
variables ^nns++++=variables
such ^abl++++=such
the ^ati++++=the
number ^nn++++=number
and ^cc++++=and
type ^nn++++=type
of ^in++++=of
young ^jj+atrb+++=young
present ^nn++++=present
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
nest ^nn++++=nest
( ^zz++++=(type
type ^nn++++=EXTRAWORD
meaning ^vwbg+++xvbg+=meaning
heterospecific ^jj++++=heterospecific,
, ^zz++++=EXTRAWORD
conspecific ^jj++++=conspecific,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mixed ^jj+atrb++xvbn+=mixed
nest ^nn++++=nest
mates ^nns++++=mates).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Support ^nn++++=Support
for ^in++++=for
this ^dt+dem+++=this
song ^nn++++=song
learning ^vwbg+vprv+tht0+xvbg+=learning
behavior ^nn++++=behavior
is ^vbz+bez+vrb++=is
twofold ^jj+pred+++=twofold:
: ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
[ ^zz++++=[1]
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
cross ^nn++++=cross
foster ^jjb+atrb+++=foster
experiments ^nns+nom+++=experiments
with ^in++++=with
non ^&fw++++=non-traditional
- ^zz++++=EXTRAWORD
traditional ^jj+atrb+++=EXTRAWORD
hosts ^nns++++=hosts
supports ^vbz++++=supports
the ^ati++++=the
imprinting ^jj+atrb++xvbg+=imprinting
practice ^nn++++=practice
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
secondly ^rb+cnj+++=secondly,
, ^zz++++=EXTRAWORD
[ ^zz++++=[2]
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
described ^jj+atrb++xvbn+=described
host ^nn++++=host-parasite
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
complexes ^nns++++=complexes,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
recent ^jj+atrb+++=recent
parasite ^nn++++=parasite
switches ^nns+++??+=switches,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
same ^ap++++=same
species ^nn++++=species
in ^in++++=in
sympatry ^nn++++=sympatry
have ^vb+hv+aux++=have
created ^vprf+++xvbnx+=created
two ^cd++++=two
mutually ^rb++++=mutually
exclusive ^jj+atrb+++=exclusive
breading ^jj+atrb++xvbg+=breading
pools ^nns++++=pools
by ^in++++=by
singing ^xvbg+++xvbg+=singing
the ^ati++++=the
songs ^nns++++=songs
of ^in++++=of
different ^jj+atrb+++=different
host ^nn++++=host
species ^nn++++=species
this ^dt+pdem+++=this
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
a ^at++++=a
speciation ^nn+nom+++=speciation
event ^nn++++=event
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
sympatric ^nn++++=sympatric
populations ^nns+nom+++=populations
show ^vb+vprv+++=show
little ^ap++++=little
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
these ^dt+dem+++=these
changes ^nns++++=changes
occur ^vb++++=occur
after ^in++++=after
the ^ati++++=the
colonization ^nn+nom+++=colonization
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
host ^nn++++=host
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
their ^pp$+pp3+++=their
first ^od++++=first
cross ^vb++++=cross
foster ^jjb+atrb+++=foster
experiment ^nn+nom+++=experiment
in ^in++++=in
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
showed ^vbd+vprv++xvbnx+=showed
that ^tht+vcmp+++=that
male ^jj+atrb+++=male
finches ^nns+++??+=finches
will ^md+prd+++=will
learn ^vb+vprv+++=learn
the ^ati++++=the
calls ^nns++++=calls
of ^in++++=of
their ^pp$+pp3+++=their
typical ^jj+atrb+++=typical
host ^nn++++=host,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj++++=red-billed
